"household_income","deposit","mortgage","interestRate","monthlyCost"
"471770","54020187","56138434","5.69","10005"
"195857","18623897","19503295","5.69","4153"
"581188","71535518","74145052","5.69","12325"
"541135","65384045","67813741","5.69","11476"
"22439","17247596","17348347","5.69","476"
"74172","34470866","34803898","5.69","1573"
"269709","9259290","10470283","5.69","5720"
"569783","15788054","18346380","5.69","12083"
"762185","6932578","10354789","5.69","16163"
"695957","43054253","46179100","5.69","14759"
"303462","80202487","81565031","5.69","6435"
"381134","63604489","65315781","5.69","8083"
"972825","3962047","8330031","5.69","20630"
"679636","23258585","26310151","5.69","14413"
"499754","58050707","60294602","5.69","10598"
"127792","78705696","79279482","5.69","2710"
"811108","13103673","16745548","5.69","17201"
"74126","95796784","96129610","5.69","1572"
"707346","14652967","17828951","5.69","15000"
"202609","6477107","7386821","5.69","4297"
"16614","33643808","33718405","5.69","352"
"86695","74715734","75104995","5.69","1839"
"966982","9879228","14220977","5.69","20506"
"923856","22977118","27125231","5.69","19592"
"343482","38308278","39850512","5.69","7284"
"464129","78891758","80975697","5.69","9843"
"233683","20956874","22006111","5.69","4956"
"201781","68445471","69351468","5.69","4279"
"601148","53702966","56402121","5.69","12748"
"49196","93245823","93466713","5.69","1043"
"823152","61990181","65686133","5.69","17456"
"414381","27460549","29321120","5.69","8788"
"572471","402856","2973251","5.69","12140"
"527238","50233232","52600531","5.69","11181"
"430554","13309636","15242823","5.69","9131"
"973146","131735","2634700","5.69","11822"
"550103","21303640","23773602","5.69","11666"
"808715","64584329","68215459","5.69","17150"
"231641","74226454","75266522","5.69","4912"
"315734","61318213","62735859","5.69","6696"
"284350","57048570","58325302","5.69","6030"
"155163","82312091","83008773","5.69","3290"
"494732","43447154","45668501","5.69","10492"
"76192","65869960","66212062","5.69","1616"
"311780","33716529","35116421","5.69","6612"
"138806","86097753","86720992","5.69","2944"
"644065","48379833","51271685","5.69","13658"
"222346","22470393","23468727","5.69","4715"
"936645","27928655","32134191","5.69","19863"
"515566","10981640","13296531","5.69","10933"
"471555","19934290","22051572","5.69","10000"
"306594","49452715","50829322","5.69","6502"
"484268","46576528","48750891","5.69","10270"
"858980","24992227","28849047","5.69","18216"
"707575","83986806","87163818","5.69","15005"
"384734","13240620","14968076","5.69","8159"
"943587","41103616","45340322","5.69","20010"
"689210","90229875","93324428","5.69","14616"
"955421","5512800","9802640","5.69","20261"
"363900","25844370","27478281","5.69","7717"
"233573","7985245","9033988","5.69","4953"
"764339","38996460","42428342","5.69","16209"
"392328","82131055","83892608","5.69","8320"
"399143","51272295","53064447","5.69","8464"
"482391","63535931","65701867","5.69","10230"
"853838","30159779","33993512","5.69","18107"
"480246","10090135","12246440","5.69","10184"
"309918","47450622","48842154","5.69","6572"
"940229","81562061","85783689","5.69","19939"
"370186","54673196","56335331","5.69","7850"
"753576","93207252","96590808","5.69","15981"
"726822","75965961","79229392","5.69","15413"
"247264","44329073","45439288","5.69","5244"
"496931","66544412","68775632","5.69","10538"
"630989","16934539","19767680","5.69","13381"
"317695","16553739","17980190","5.69","6737"
"721454","35298047","38537375","5.69","15300"
"164441","70430406","71168746","5.69","3487"
"662378","90645021","93619098","5.69","14047"
"480167","13578632","15734582","5.69","10183"
"648184","38646242","41556588","5.69","13746"
"748497","98371873","101732625","5.69","15873"
"567805","67324882","69874326","5.69","12041"
"889649","81055322","85049846","5.69","18866"
"827443","92925191","96640410","5.69","17547"
"440015","202780","2178447","5.69","9331"
"89005","44638777","45038409","5.69","1887"
"493208","59982274","62196778","5.69","10459"
"898458","48015834","52049910","5.69","19053"
"805478","90244454","93861050","5.69","17081"
"208615","26604778","27541459","5.69","4424"
"757747","52590394","55992678","5.69","16069"
"893845","20101897","24115261","5.69","18955"
"558257","50618884","53125458","5.69","11839"
"834891","88927370","92676031","5.69","17705"
"542323","14598506","17033536","5.69","11501"
"974903","19008288","23385602","5.69","20674"
"934215","48740731","52935356","5.69","19811"
"19813","42398951","42487911","5.69","420"
"811871","76756955","80402256","5.69","17217"
"747889","20850247","24208269","5.69","15860"
"973948","72034427","76407454","5.69","20654"
"209701","96363435","97304992","5.69","4447"
"65995","42512807","42809125","5.69","1400"
"282627","94121449","95390444","5.69","5994"
"956245","68065371","72358911","5.69","20279"
"946376","47324863","51574091","5.69","20069"
"546645","51962592","54417028","5.69","11592"
"654112","50629142","53566105","5.69","13871"
"94536","83742087","84166554","5.69","2005"
"532832","1890035","4282451","5.69","11299"
"642150","68631172","71514426","5.69","13618"
"869972","61593138","65499312","5.69","18449"
"877577","84722917","88663238","5.69","18610"
"678661","40016006","43063194","5.69","14392"
"450700","37951072","39974715","5.69","9558"
"11389","16876211","null","5.69","8"
"634343","29061835","31910035","5.69","13452"
"713669","94820010","98024384","5.69","15134"
"258864","50518586","51680885","5.69","5490"
"400152","72050086","73846768","5.69","8486"
"41879","59869586","60057623","5.69","888"
"709626","49369654","52555875","5.69","15049"
"662669","62567742","65543126","5.69","14053"
"276787","19371988","20614762","5.69","5870"
"590034","9357904","12007157","5.69","12513"
"581617","32696132","35307592","5.69","12334"
"430070","35757837","37688851","5.69","9120"
"432041","91236957","93176821","5.69","9162"
"424751","79261108","81168240","5.69","9007"
"330328","26497410","27980583","5.69","7005"
"940839","54107735","58332102","5.69","19952"
"367874","50607762","52259516","5.69","7801"
"14591","63634083","63699597","5.69","309"
"270943","50096926","51313460","5.69","5746"
"53289","63943669","64182937","5.69","1130"
"647018","97627284","100532395","5.69","13721"
"220055","78818531","79806578","5.69","4667"
"663354","22234086","25212545","5.69","14067"
"768953","56480833","59933432","5.69","16307"
"808342","98428316","102057772","5.69","17142"
"507930","90416542","92697148","5.69","10771"
"993432","21765881","26226391","5.69","21067"
"516032","61271030","63588014","5.69","10943"
"960623","45402237","49715434","5.69","20371"
"642574","80989866","83875023","5.69","13627"
"746268","17514856","20865599","5.69","15826"
"990222","33139226","37585323","5.69","20999"
"734214","83868393","87165014","5.69","15570"
"909837","2652579","6737747","5.69","19294"
"586183","35765106","38397068","5.69","12431"
"259308","98732463","99896756","5.69","5499"
"345933","69380107","70933346","5.69","7336"
"648303","28292461","31203341","5.69","13748"
"308298","17102397","18486655","5.69","6538"
"431996","46624126","48563788","5.69","9161"
"340306","51659248","53187222","5.69","7217"
"825602","11153218","14860171","5.69","17508"
"273798","28207081","29436434","5.69","5806"
"879214","86840992","90788663","5.69","18645"
"228701","30301442","31328309","5.69","4850"
"397261","75529250","77312952","5.69","8425"
"559511","10923446","13435650","5.69","11865"
"608165","23870103","26600764","5.69","12897"
"182096","1654138","2471749","5.69","3862"
"673822","74166671","77192132","5.69","14289"
"517898","19056890","21382252","5.69","10983"
"377270","28279477","29973419","5.69","8001"
"775043","53690226","57170169","5.69","16436"
"998407","13500924","17983771","5.69","21173"
"210094","19802550","20745872","5.69","4455"
"756681","20964126","24361624","5.69","16047"
"415324","58391304","60256109","5.69","8808"
"596570","42644483","45323082","5.69","12651"
"142021","99579739","100217413","5.69","3012"
"196934","48640166","49524400","5.69","4176"
"212917","59267999","60223996","5.69","4515"
"821703","22415998","26105444","5.69","17425"
"904801","22600259","26662815","5.69","19188"
"629061","39378099","42202583","5.69","13340"
"317711","13741185","15167707","5.69","6738"
"749260","62996094","66360271","5.69","15889"
"611374","89152928","91897997","5.69","12965"
"85505","41022038","41405955","5.69","1813"
"300683","65896466","67246533","5.69","6376"
"436775","26760368","28721488","5.69","9262"
"89903","45300260","45703924","5.69","1907"
"130388","13323432","13908874","5.69","2765"
"803215","46001575","49608010","5.69","17033"
"927020","30445115","34607435","5.69","19659"
"310981","4365902","5762207","5.69","6595"
"27537","82293804","82417445","5.69","584"
"270859","47946820","49162977","5.69","5744"
"857440","63851230","67701136","5.69","18183"
"654214","86819441","89756862","5.69","13874"
"104498","8985808","9455004","5.69","2216"
"59432","63031625","63298475","5.69","1260"
"408334","61995668","63829088","5.69","8659"
"775061","89284938","92764962","5.69","16436"
"883297","93588236","97554240","5.69","18732"
"855410","93241564","97082355","5.69","18140"
"839862","4259104","8030084","5.69","17811"
"310775","3777660","5173040","5.69","6590"
"93018","45491823","45909474","5.69","1973"
"368234","5040324","6693695","5.69","7809"
"657554","71507008","74459425","5.69","13944"
"332367","20994268","22486596","5.69","7048"
"576593","63107024","65695927","5.69","12228"
"23418","9410649","9515796","5.69","497"
"707313","88556089","91731924","5.69","15000"
"827547","53645528","57361214","5.69","17549"
"631410","49610776","52445807","5.69","13390"
"431872","71985019","73924124","5.69","9158"
"943995","78548250","82786788","5.69","20019"
"240882","28238207","29319767","5.69","5108"
"356649","62596279","64197633","5.69","7563"
"417635","5533803","7408984","5.69","8857"
"453848","90912945","92950723","5.69","9625"
"550340","45366152","47837179","5.69","11671"
"149877","99674403","100347351","5.69","3178"
"590487","95850670","98501957","5.69","12522"
"713130","35354463","38556417","5.69","15123"
"177884","13308618","14107317","5.69","3772"
"126600","24791887","25360321","5.69","2685"
"400688","41014780","42813869","5.69","8497"
"983686","21416798","25833548","5.69","20861"
"812947","63224856","66874988","5.69","17240"
"67478","50051133","50354109","5.69","1431"
"800406","77172414","80766237","5.69","16974"
"972240","94775170","99140528","5.69","20618"
"64935","76394002","76685560","5.69","1377"
"174313","24824825","25607490","5.69","3697"
"386657","99926886","101662976","5.69","8200"
"166169","39289778","40035877","5.69","3524"
"751948","9550390","12926637","5.69","15946"
"286961","55255282","56543737","5.69","6085"
"672918","92378472","95399874","5.69","14270"
"716842","21667802","24886423","5.69","15202"
"478450","56928558","59076799","5.69","10146"
"301178","89535831","90888120","5.69","6387"
"976803","86625728","91011573","5.69","20715"
"751739","36095908","39471216","5.69","15942"
"555678","6669303","9164297","5.69","11784"
"122975","91135695","91687853","5.69","2608"
"326051","27852633","29316602","5.69","6914"
"838384","28286381","32050725","5.69","17779"
"136876","68774578","69389151","5.69","2903"
"244447","66980562","68078129","5.69","5184"
"571673","73822768","76389580","5.69","12123"
"78155","95099578","95450494","5.69","1657"
"300678","91783991","93134035","5.69","6376"
"261407","88666021","89839738","5.69","5544"
"233097","3743832","4790438","5.69","4943"
"932352","46706874","50893134","5.69","19772"
"202575","89346911","90256473","5.69","4296"
"99730","96429501","96877289","5.69","2115"
"748155","3055843","6415059","5.69","15866"
"422635","72576077","74473708","5.69","8963"
"358710","52617646","54228254","5.69","7607"
"929374","84901863","89074752","5.69","19709"
"485557","87132775","89312926","5.69","10297"
"531094","21994418","24379030","5.69","11263"
"202345","64931266","65839795","5.69","4291"
"403448","70630795","72442277","5.69","8556"
"309492","64599632","65989251","5.69","6563"
"609103","97273394","100008266","5.69","12917"
"31627","51078384","51220389","5.69","671"
"949812","1511377","5776033","5.69","20142"
"428646","47200487","49125108","5.69","9090"
"956818","49480331","53776444","5.69","20291"
"700987","89599841","92747273","5.69","14865"
"680927","68178093","71235455","5.69","14440"
"98609","36177909","36620663","5.69","2091"
"19863","99774772","99863957","5.69","421"
"691501","66523979","69628818","5.69","14664"
"620956","93633144","96421236","5.69","13168"
"213359","28248459","29206441","5.69","4525"
"867500","2537518","6432593","5.69","18397"
"966477","69739904","74079386","5.69","20496"
"108463","10443565","10930564","5.69","2300"
"498605","82907271","85146007","5.69","10574"
"792032","56074226","59630450","5.69","16796"
"571876","48211956","50779679","5.69","12127"
"944479","99235613","103476324","5.69","20029"
"79867","7675439","8034042","5.69","1694"
"707444","39140345","42316769","5.69","15002"
"108667","77609251","78097166","5.69","2304"
"740308","86257607","89581590","5.69","15699"
"428936","92791767","94717690","5.69","9096"
"230884","8196788","9233457","5.69","4896"
"772616","25362525","28831571","5.69","16384"
"779674","68267354","71768090","5.69","16534"
"220445","90735023","91724821","5.69","4675"
"469697","76994194","79103134","5.69","9961"
"27082","37379787","37501385","5.69","574"
"712315","59784928","62983222","5.69","15106"
"412728","13941135","15794284","5.69","8753"
"275043","20432324","21667267","5.69","5833"
"914326","22702640","26807964","5.69","19390"
"742397","70567936","73901299","5.69","15744"
"168895","69071739","69830078","5.69","3582"
"303208","1525781","2887185","5.69","6430"
"800883","43146117","46742082","5.69","16984"
"265977","97405989","98600226","5.69","5640"
"163135","40635628","41368104","5.69","3460"
"825863","88686553","92394678","5.69","17514"
"679178","79954311","83003820","5.69","14403"
"961668","42397073","46714962","5.69","20394"
"282122","41575016","42841744","5.69","5983"
"70265","12335010","12650500","5.69","1490"
"161705","58989231","59715286","5.69","3429"
"360646","30918351","32537652","5.69","7648"
"672148","67373870","70391815","5.69","14254"
"217571","98494765","99471659","5.69","4614"
"533233","71310458","73704674","5.69","11308"
"737620","87712725","91024639","5.69","15642"
"367404","87199797","88849441","5.69","7791"
"667248","33886559","36882503","5.69","14150"
"35661","37746210","37906328","5.69","756"
"324012","44346338","45801152","5.69","6871"
"570277","12980946","15541490","5.69","12094"
"685265","17920135","20996975","5.69","14532"
"577352","81360645","83952955","5.69","12244"
"823676","38926717","42625022","5.69","17467"
"608010","73258528","75988493","5.69","12894"
"271552","94036350","95255618","5.69","5759"
"154686","81852077","82546617","5.69","3280"
"230567","94079425","95114671","5.69","4890"
"891017","15840007","19840673","5.69","18895"
"49590","27740550","27963209","5.69","1052"
"339712","66283856","67809163","5.69","7204"
"444756","28021248","30018202","5.69","9432"
"82285","59530885","59900345","5.69","1745"
"925339","4194954","8349726","5.69","19623"
"423287","15007497","16908056","5.69","8976"
"631591","64993305","67829149","5.69","13394"
"899018","17088716","21125307","5.69","19065"
"773096","19270524","22741725","5.69","16395"
"38426","1801573","1974106","5.69","815"
"636331","48269828","51126954","5.69","13494"
"789227","27790705","31334334","5.69","16737"
"15258","73733217","73801725","5.69","324"
"44574","35701681","35901818","5.69","945"
"306402","13204127","14579872","5.69","6498"
"580028","58702991","61307317","5.69","12300"
"962842","66162444","70485605","5.69","20418"
"726644","81952812","85215444","5.69","15410"
"979831","70736144","75135585","5.69","20779"
"239308","83209267","84283760","5.69","5075"
"650582","49770627","52691740","5.69","13797"
"410186","89314344","91156079","5.69","8699"
"554075","71663287","74151084","5.69","11750"
"578069","67089570","69685100","5.69","12259"
"572064","60962017","63530584","5.69","12131"
"549635","40701624","43169485","5.69","11656"
"583161","96750318","99368711","5.69","12367"
"42318","36499902","36689910","5.69","897"
"851691","5763513","9587606","5.69","18061"
"704736","72841519","76005784","5.69","14945"
"542771","80696271","83133313","5.69","11510"
"90110","21343442","21748036","5.69","1911"
"696378","20702068","23828805","5.69","14768"
"129711","11666519","12248921","5.69","2751"
"698335","97342044","100477568","5.69","14809"
"746140","44196277","47546446","5.69","15823"
"524177","1216873","3570428","5.69","11116"
"351480","92318114","93896259","5.69","7454"
"485483","5212985","7392804","5.69","10295"
"812096","26454700","30101011","5.69","17222"
"265091","93446341","94636600","5.69","5622"
"526548","64548083","66912284","5.69","11166"
"159765","61689937","62407282","5.69","3388"
"135283","55511759","56119180","5.69","2869"
"948011","19268087","23524656","5.69","20104"
"658638","81887819","84845104","5.69","13967"
"917737","63129206","67249845","5.69","19462"
"974155","86897441","91271397","5.69","20658"
"19558","94312176","94399991","5.69","415"
"565419","60634082","63172813","5.69","11991"
"729830","72616755","75893692","5.69","15477"
"41987","81685605","81874127","5.69","890"
"865401","59137640","63023290","5.69","18352"
"358196","1766532","3374832","5.69","7596"
"876987","53777786","57715458","5.69","18598"
"575140","29666926","32249305","5.69","12197"
"692174","79860167","82968028","5.69","14679"
"974418","55570727","59945864","5.69","20664"
"485136","76335017","78513278","5.69","10288"
"44314","66064917","66263887","5.69","940"
"659754","95181972","98144267","5.69","13991"
"936126","97524651","101727857","5.69","19852"
